شناسه پرسش,پرسش,نوع داده,برچسب,سری,مقدار,جزئیات
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,3,دل,42.7,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,4,دل,42.5,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,5,دل,67.9,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,6,دل,58.4,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,7,دل,82.7,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,8,دل,73.5,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,9,دل,74.1,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,10,دل,80.3,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,11,دل,104.4,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,12,دل,80.8,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,13,دل,83.1,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,14,دل,54.1,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,15,دل,117.6,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,3,عقل,1.4,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,4,عقل,0.0,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,5,عقل,3.6,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,6,عقل,10.6,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,7,عقل,8.3,رخداد شاعرمتوازن در ده‌هزار واژه
heart-or-reason,در شعر فارسی «دل» بیشتر حرف می‌زند یا «عقل»؟,trend,8,عقل,10.6,رخداد شاعرمتوازن در ده‌هزار واژه
